City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
534,Najran,SA,78.8,clear sky,17.4924,44.1277,محمد هادي ال فطيح
536,Bathsheba,BB,86.0,scattered clouds,13.2167,-59.5167,Atlantis Hotel
544,Sao Gabriel Da Cachoeira,BR,86.0,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
552,Maceio,BR,78.8,broken clouds,-9.6658,-35.7353,Poutur Pousada
553,Trincomalee,LK,80.2,broken clouds,8.5711,81.2335,Welcombe Hotel
557,Sulangan,PH,77.99,moderate rain,11.1373,123.7228,Maia's Beach Resort
566,Port Blair,IN,81.18,broken clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
569,Gambela,ET,84.83,broken clouds,8.25,34.5833,Solomon Debebe Hotel
576,Fort Abbas,PK,83.86,scattered clouds,29.1925,72.8536,AsAd's House
577,Viedma,AR,75.47,few clouds,-40.8135,-62.9967,Hotel Cristal
579,Mardin,TR,77.0,clear sky,37.3131,40.7436,Reyhani Kasri Hotel
583,Manta,EC,84.2,broken clouds,-0.95,-80.7333,Balandra Hotel
586,Celestun,MX,84.78,scattered clouds,20.8667,-90.4,Posada Lilia
597,Nhulunbuy,AU,78.8,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
599,Pakxe,LA,82.0,scattered clouds,15.1167,105.7833,Champasak Palace Hotel
600,Santa Fe,AR,84.99,overcast clouds,-31.6333,-60.7,Conquistador Hotel
602,Yarada,IN,82.56,scattered clouds,17.65,83.2667,Jeevan
607,Alugan,PH,76.87,heavy intensity rain,12.2188,125.4808,JM Lodge
609,Lar,IN,83.55,clear sky,26.2039,83.9717,Ovaiskarni ward Lar
613,Saint-Georges,GD,86.0,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
618,Turbat,PK,83.08,broken clouds,26.0023,63.044,Mubashar Quarters
621,Barayong,PH,75.09,heavy intensity rain,13.1,123.7167,Casa Roses BED AND BREAKFAST
623,Sheopur,IN,86.49,scattered clouds,25.6667,76.7,Shri Ram Dharmshala
628,Coro,VE,87.94,broken clouds,11.4045,-69.6734,Federal
629,Orange Cove,US,79.0,clear sky,36.6244,-119.3137,
630,Peterongan,ID,77.0,scattered clouds,-7.5394,112.2792,OYO 2663 Jombang Permai Syariah Residence
633,Tual,ID,81.27,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
636,Kattivakkam,IN,84.2,few clouds,13.2167,80.3167,Raj's villa
637,Tevaitoa,PF,82.2,few clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
639,Evans,US,78.01,few clouds,33.5337,-82.1307,Donald J Kosatka
643,Odweyne,SO,77.43,light rain,9.4092,45.06399999999999,Eng Hiirey House
651,Cantapoy,PH,79.84,light rain,9.4906,125.4364,Brgy Pili Mountain View
652,Abaete,BR,82.09,broken clouds,-19.16,-45.4458,Hotel Millenium
653,Keningau,MY,78.8,few clouds,5.3378,116.1602,Sabindo Hotel
654,Jequitinhonha,BR,83.14,broken clouds,-16.4339,-41.0033,Hotel Bela Vista
659,Comodoro Rivadavia,AR,75.2,clear sky,-45.8667,-67.5,Austral Hotel
660,Harper,LR,80.92,overcast clouds,4.375,-7.7169,Screensaver
662,Panalingaan,PH,78.13,light rain,8.7842,117.4231,I Love Panalingaan View Deck
663,Jacqueville,CI,86.0,few clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
668,Bembereke,BJ,81.9,overcast clouds,10.2283,2.6634,Hotel Bio Guera
677,Placerville,US,78.01,clear sky,38.7296,-120.7986,Historic Cary House Hotel
680,Sinnamary,GF,81.86,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
681,Mareeba,AU,75.2,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
