City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
580,Mildura,-34.2,142.15,50.0,71,90,2.3,AU,overcast clouds,2021-04-18 18:45:31
581,Nantucket,41.2835,-70.0995,53.6,54,20,13.8,US,few clouds,2021-04-18 18:45:31
582,Broken Hill,-31.95,141.4333,50.0,66,61,1.77,AU,broken clouds,2021-04-18 18:45:31
583,Manta,-0.95,-80.7333,84.2,61,75,5.75,EC,broken clouds,2021-04-18 18:45:32
584,Kirov,58.5966,49.6601,30.4,72,13,9.44,RU,few clouds,2021-04-18 18:42:26
585,Nizhniy Odes,63.6445,54.856,20.8,82,23,3.31,RU,few clouds,2021-04-18 18:45:32
586,Celestun,20.8667,-90.4,84.78,73,32,16.04,MX,scattered clouds,2021-04-18 18:45:32
587,Remeti,47.9833,23.6333,48.99,81,90,2.3,RO,overcast clouds,2021-04-18 18:45:33
588,College,64.8569,-147.8028,46.4,45,40,3.44,US,scattered clouds,2021-04-18 18:43:50
589,Calvinia,-31.4707,19.776,73.8,28,63,3.18,ZA,broken clouds,2021-04-18 18:43:13
590,Fort Saint James,54.4333,-124.25,45.36,50,7,12.06,CA,clear sky,2021-04-18 18:45:33
591,Dundee,56.5,-2.9667,50.0,71,40,6.91,GB,scattered clouds,2021-04-18 18:45:34
592,Zhangye,38.9342,100.4517,55.96,16,100,1.25,CN,overcast clouds,2021-04-18 18:45:07
593,Anadyr,64.75,177.4833,19.4,86,20,6.71,RU,few clouds,2021-04-18 18:45:35
594,Kisangani,0.5167,25.2,73.47,90,97,1.23,CD,overcast clouds,2021-04-18 18:45:35
595,Ayorou,14.7308,0.9174,97.23,17,93,7.61,NE,overcast clouds,2021-04-18 18:45:36
596,Cabra,37.4725,-4.4421,69.8,28,0,2.3,ES,clear sky,2021-04-18 18:45:36
597,Nhulunbuy,-12.2333,136.7667,78.8,83,100,8.05,AU,overcast clouds,2021-04-18 18:45:36
598,Kodinsk,58.6881,99.1844,21.54,93,100,5.55,RU,overcast clouds,2021-04-18 18:45:37
599,Pakxe,15.1167,105.7833,82.0,64,42,1.97,LA,scattered clouds,2021-04-18 18:45:37
600,Santa Fe,-31.6333,-60.7,84.99,51,88,5.99,AR,overcast clouds,2021-04-18 18:45:37
601,Mnogovershinnyy,53.9353,139.9242,28.13,94,100,5.88,RU,overcast clouds,2021-04-18 18:45:37
602,Yarada,17.65,83.2667,82.56,78,30,10.38,IN,scattered clouds,2021-04-18 18:45:38
